vid,name,authority,field_authority_link
genre,Advertisements,lgcft,http://id.loc.gov/authorities/genreForms/gf2017027215
genre,Amateur films,lgcft,http://id.loc.gov/authorities/genreForms/gf2011026038
genre,Anecdotes,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026044
genre,Annual reports,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026046
genre,Anthems,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026635
genre,Atlases,lgcft,http://id.loc.gov/authorities/genreForms/gf2011026058
genre,Bibliographies,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026048
genre,Biographies,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026049
genre,By-laws,lgcft,http://id.loc.gov/authorities/genreForms/gf2011026104
genre,Cadastral maps,lgcft,http://id.loc.gov/authorities/genreForms/gf2011026106
genre,Catalogs,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026057
genre,Chamber music,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026704
genre,Comparative maps,lgcft,http://id.loc.gov/authorities/genreForms/gf2011026155
genre,Concert programs,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026065
genre,Conference papers and proceedings,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026068
genre,Documentary films,lgcft,http://id.loc.gov/authorities/genreForms/gf2011026205
genre,Documentary photographs,lgcft,http://id.loc.gov/authorities/genreForms/gf2017027230
genre,Drama,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026297
genre,Early maps,lgcft,http://id.loc.gov/authorities/genreForms/gf2011026218
genre,Ethnographic maps,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026012
genre,Experimental poetry,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026326
genre,Filmed dance,lgcft,http://id.loc.gov/authorities/genreForms/gf2011026266
genre,Folk music,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026809
genre,Free jazz,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026816
genre,Geological maps,lgcft,http://id.loc.gov/authorities/genreForms/gf2011026296
genre,Graphs,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026061
genre,Index maps,lgcft,http://id.loc.gov/authorities/genreForms/gf2011026325
genre,Instructional and educational works,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026114
genre,Interviews,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026115
genre,Jazz,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026879
genre,Lectures,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026122
genre,Literature,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026415
genre,Live sound recordings,lgcft,http://id.loc.gov/authorities/genreForms/gf2011026368
genre,Handbooks and manuals,lgcft,http://id.loc.gov/authorities/genreForms/gf2014026109
genre,Manuscript maps,lgcft,http://id.loc.gov/authorities/genreForms/gf2011026385
genre,Maps,lgcft,http://id.loc.gov/authorities/genreForms/gf2011026387
