vid,name,authority,field_authority_link
subject,"Albers, Josef, 1888-1976",lcnaf,https://id.loc.gov/authorities/names/n80057250
subject,Alberta--Description and travel,lcsh,https://id.loc.gov/authorities/subjects/sh86002790
subject,Alberta--Economic conditions,,
subject,Alchemy,lcsh,https://id.loc.gov/authorities/subjects/sh85003265
subject,Alcohol,lcsh,https://id.loc.gov/authorities/subjects/sh85003268
subject,Alcoholic beverage industry,lcsh,https://id.loc.gov/authorities/subjects/sh85003282
subject,Alcoholism,mesh,https://id.nlm.nih.gov/mesh/D000437.html
subject,Alcoholism and employment,lcsh,https://id.loc.gov/authorities/subjects/sh85003307
subject,"Alderwood Collegiate Institute (Etobicoke, Ont.)",wiki,https://www.wikidata.org/wiki/Q16205653
subject,"Alexander, Dale, 1919-",lcnaf,https://id.loc.gov/authorities/names/n81010527
subject,"Alexander, Lincoln M. (Lincoln MacCauley), 1922-2012",lcnaf,https://id.loc.gov/authorities/names/no2007005249
subject,"Alexander, Scott, 1955-",lcnaf,https://id.loc.gov/authorities/names/no2018011977
subject,Algeria--Description and travel,lcsh,https://id.loc.gov/authorities/subjects/sh91002647
subject,Algeria--Foreign relations--United States,,
subject,Algonquians,wiki,https://www.wikidata.org/wiki/Q1621197
subject,Algonquin people,wiki,https://www.wikidata.org/wiki/Q135863
subject,"Ali, Muhammad, 1942-2016",lcnaf,https://id.loc.gov/authorities/names/n79054611
subject,"Allan Gardens Conservatory (Toronto, Ont.)",wiki,https://www.wikidata.org/wiki/Q1635335
subject,"Allen, Craig",,
subject,"Allen's Danforth Theatre (Toronto, Ont.)",wiki,https://www.wikidata.org/wiki/Q38371135
subject,Allergy,lcsh,https://id.loc.gov/authorities/subjects/sh85003662
subject,Allergy shots,mesh,https://id.nlm.nih.gov/mesh/D003888.html
subject,"Alleyne, Archie",viaf,http://viaf.org/viaf/66102113
subject,Allward & Gouinlock Inc.,wiki,https://www.wikidata.org/wiki/Q97409119
subject,Almanacs,lcsh,https://id.loc.gov/authorities/subjects/sh85003744
subject,"Almanacs, Canadian",lcsh,https://id.loc.gov/authorities/subjects/sh85003748
subject,Alternative fuel vehicles,lcsh,https://id.loc.gov/authorities/subjects/sh2002004155
subject,Alternative medicine,lcsh,https://id.loc.gov/authorities/subjects/sh85134721
subject,Alternative treatment,lcsh,https://id.loc.gov/authorities/subjects/sh99002316
subject,Altitudes,lcsh,https://id.loc.gov/authorities/subjects/sh85003931
subject,Alzheimer Disease,mesh,https://id.nlm.nih.gov/mesh/D000544
subject,Amalgamated Transit Union Local 113,wiki,https://www.wikidata.org/wiki/Q109565094
subject,Ambulances,lcsh,https://id.loc.gov/authorities/subjects/sh85004178
subject,Amcinonide,mesh,https://id.nlm.nih.gov/mesh/C012716.html
subject,America,lcsh,https://id.loc.gov/authorities/subjects/sh85004220
subject,America--Discovery and exploration,lcsh,https://id.loc.gov/authorities/subjects/sh85004240
subject,America--Discovery and exploration--British,lcsh,https://id.loc.gov/authorities/subjects/sh2008114174
subject,America--Discovery and exploration--French,lcsh,https://id.loc.gov/authorities/subjects/sh2008114176
subject,America--Discovery and exploration--Norse,lcsh,https://id.loc.gov/authorities/subjects/sh85004249
subject,America--Discovery and exploration--Spanish,lcsh,https://id.loc.gov/authorities/subjects/sh85004256
subject,American and Spanish,,
subject,American drama,lcsh,https://id.loc.gov/authorities/subjects/sh85004305
subject,American drama (Collections),,
subject,American drama--Bibliography,lcsh,https://id.loc.gov/authorities/subjects/sh2009114771
subject,American drama--History and criticism,lcsh,https://id.loc.gov/authorities/subjects/sh2007101029
subject,American Indian Movement,lcnaf,https://id.loc.gov/authorities/names/n82024042
subject,American literature,lcsh,https://id.loc.gov/authorities/subjects/sh85004336
subject,"American literature (Selections: Extracts, etc.)",,
subject,American literature--20th century,lcsh,https://id.loc.gov/authorities/subjects/sh85004341
subject,American literature--Bibliography,lcsh,https://id.loc.gov/authorities/subjects/sh85004345
subject,American literature--History and criticism,lcsh,https://id.loc.gov/authorities/subjects/sh85004351
subject,"American literature--Outlines, syllabi, etc.",lcsh,https://id.loc.gov/authorities/subjects/sh2009114812
subject,American literature--Selection,fast,http://id.worldcat.org/fast/807244/
subject,American literature--Southern States,lcsh,https://id.loc.gov/authorities/subjects/sh2008117582
subject,American loyalists,lcsh,https://id.loc.gov/authorities/subjects/sh85004364
subject,American poetry,lcsh,https://id.loc.gov/authorities/subjects/sh85004382
subject,American poetry--19th century,lcsh,https://id.loc.gov/authorities/subjects/sh85004386
subject,American poetry--19th century--History and criticism,lcsh,https://id.loc.gov/authorities/subjects/sh2007101080
subject,American poetry--20th century,lcsh,https://id.loc.gov/authorities/subjects/sh85004387
subject,American poetry--20th century--History and criticism,lcsh,https://id.loc.gov/authorities/subjects/sh2007101081
subject,American poetry--Southern States,lcsh,https://id.loc.gov/authorities/subjects/sh2009114836
subject,Americanization,lcsh,https://id.loc.gov/authorities/subjects/sh85004431
subject,Amish,lcsh,https://id.loc.gov/authorities/subjects/sh85004511
subject,Amniocentesis,mesh,https://id.nlm.nih.gov/mesh/D000649.html
subject,Amphetamines,lcsh,https://id.loc.gov/authorities/subjects/sh85004595
subject,Amphibians,lcsh,https://id.loc.gov/authorities/subjects/sh85004598
subject,Amusement rides,lcsh,https://id.loc.gov/authorities/subjects/sh85004708
subject,Anatomy,lcsh,https://id.loc.gov/authorities/subjects/sh85004835
subject,"Andmerianakis, Nick",,
subject,Anecdotes,lcsh,https://id.loc.gov/authorities/subjects/sh85004931
subject,Anesthesia,lcsh,https://id.loc.gov/authorities/subjects/sh85004952
subject,Anesthetics,lcsh,https://id.loc.gov/authorities/subjects/sh85004977
subject,Angina Pectoris,mesh,https://id.nlm.nih.gov/mesh/D000787.html
subject,Angiography,lcsh,https://id.loc.gov/authorities/subjects/sh85005025
subject,Anglican chants,lcsh,https://id.loc.gov/authorities/subjects/sh85022544
subject,Animal behavior,lcsh,https://id.loc.gov/authorities/subjects/sh85005162
subject,Animal communication,lcsh,https://id.loc.gov/authorities/subjects/sh85005167
subject,Animal experimentation,lcsh,https://id.loc.gov/authorities/subjects/sh85005173
subject,animal heart transplant,,
subject,Animal intelligence,lcsh,https://id.loc.gov/authorities/subjects/sh85005202
subject,Animals,lcsh,https://id.loc.gov/authorities/subjects/sh85005249
subject,Animals--Anecdotes,lcsh,https://id.loc.gov/authorities/subjects/sh85005250
subject,Animatronic show,wiki,https://www.wikidata.org/wiki/Q18009433
subject,Annexation to the United States,,
subject,Annexations,wiki,https://www.wikidata.org/wiki/Q194465
subject,Anniversaries,lcsh,https://id.loc.gov/authorities/subjects/sh85005357
subject,Annotations (Provenance)--20th century,,
subject,Antarctica,lcsh,https://id.loc.gov/authorities/subjects/sh85005490-781
subject,Antarctica--Discovery and exploration--Norwegian,,
subject,Anthems,lcsh,https://id.loc.gov/authorities/subjects/sh85005524
subject,Anthropological illustration,lcsh,https://id.loc.gov/authorities/subjects/sh94008551
subject,Anthropology,lcsh,https://id.loc.gov/authorities/subjects/sh85005581
subject,Anti Black Racism,lcsh,https://id.loc.gov/authorities/subjects/sh2021004146
subject,Anti Columbus,,
subject,Anti racism,wiki,https://www.wikidata.org/wiki/Q582965
subject,Anti-apartheid movements,lcsh,https://id.loc.gov/authorities/subjects/sh85005602
subject,Anti-NNSC,,
subject,Anti-War Demonstration,,
subject,Antiarthritic agents,lcsh,https://id.loc.gov/authorities/subjects/sh85005631
subject,Anticonvulsants,lcsh,https://id.loc.gov/authorities/subjects/sh85005657
subject,"Anticosti, Île d' (Québec)",viaf,http://viaf.org/viaf/248265867
subject,Antihistamines,lcsh,https://id.loc.gov/authorities/subjects/sh85005683
subject,Antihypertensive agents,mesh,https://id.nlm.nih.gov/mesh/D000959.html
subject,Antique dealers,lcsh,https://id.loc.gov/authorities/subjects/sh85005745
subject,Antiquities,lcsh,https://id.loc.gov/authorities/subjects/sh99002344
subject,Apalachee people,wiki,https://www.wikidata.org/wiki/Q49306
subject,Apartheid,lcsh,https://id.loc.gov/authorities/subjects/sh85005905
subject,Apartment houses,lcsh,https://id.loc.gov/authorities/subjects/sh85005908
subject,Apes,lcsh,https://id.loc.gov/authorities/subjects/sh85005941
subject,Apologetics,lcsh,https://id.loc.gov/authorities/subjects/sh85006028
subject,Apologetics--Early works to 1800,lcsh,https://id.loc.gov/authorities/subjects/sh94000014
subject,Apologetics--History--17th century,lcsh,https://id.loc.gov/authorities/subjects/sh94000017
subject,Apologetics--History--18th century,lcsh,https://id.loc.gov/authorities/subjects/sh85006039
subject,Appearance (Philosophy),lcsh,https://id.loc.gov/authorities/subjects/sh88001849
subject,Apples,lcsh,https://id.loc.gov/authorities/subjects/sh85006106
subject,Applewood Acres,,
subject,Applewood Heights,,
subject,Appropriations and expenditures,lcsh,https://id.loc.gov/authorities/subjects/sh2002007884
subject,Apsley,,
subject,"Aquash, Anna Mae, 1945-1976",lcnaf,https://id.loc.gov/authorities/names/n78059521
subject,"Arbitration, Industrial",lcsh,https://id.loc.gov/authorities/subjects/sh85006452
subject,Arbor Day,lcsh,https://id.loc.gov/authorities/subjects/sh85006464
subject,Arborfield (Sask.),wiki,https://www.wikidata.org/wiki/Q704802
subject,arch-gravity dam,wiki,https://www.wikidata.org/wiki/Q357679
subject,Archaeological sites,lcsh,https://id.loc.gov/authorities/subjects/sh2004001339
subject,Archery,lcsh,https://id.loc.gov/authorities/subjects/sh85006527
subject,Architects,lcsh,https://id.loc.gov/authorities/subjects/sh85006565
subject,Architectural models,lcsh,https://id.loc.gov/authorities/subjects/sh85006601
subject,Architecture,lcsh,https://id.loc.gov/authorities/subjects/sh85006611
subject,Architecture--Italy--Venice,lcsh,https://id.loc.gov/authorities/subjects/sh2007101317
subject,"Architecture, Ancient",lcsh,https://id.loc.gov/authorities/subjects/sh85006703
subject,Archives,lcsh,https://id.loc.gov/authorities/subjects/sh99001931
subject,Archives--Canada,lcsh,https://id.loc.gov/authorities/subjects/sh2009115535
subject,Arctic regions,lcsh,https://id.loc.gov/authorities/subjects/sh85006955
subject,Arctic regions--Description and travel,lcsh,https://id.loc.gov/authorities/subjects/sh2007100947
subject,Arctic regions--Discovery and exploration,lcsh,https://id.loc.gov/authorities/subjects/sh85006958
subject,Arctic regions--Discovery and exploration--British,lcsh,https://id.loc.gov/authorities/subjects/sh2008114226
subject,Arctic regions--Discovery and exploration--German,,
subject,Ardbeg (Ont.),,
subject,Area 1,,
subject,Area 2,,
subject,Area 3,,
subject,Area 4,,
subject,Area 5,,
subject,Area 6,,
subject,Argentine,,
subject,Armistice Day,lcsh,https://id.loc.gov/authorities/subjects/sh94004914
subject,"Armour Heights, North York",,
subject,Armstrong (Ont.),,
subject,"Arnaz, Desi, Jr., 1953-",viaf,https://viaf.org/viaf/73484304/
subject,Around the World Show,,
subject,Arrest,lcsh,https://id.loc.gov/authorities/subjects/sh85007424
subject,Arrhythmia,lcsh,https://id.loc.gov/authorities/subjects/sh85007430
subject,Arsenic,lcsh,https://id.loc.gov/authorities/subjects/sh85007449
subject,Art,lcsh,https://id.loc.gov/authorities/subjects/sh85007461
subject,Art and religion,lcsh,https://id.loc.gov/authorities/subjects/sh85007972
subject,Art collections,lcsh,https://id.loc.gov/authorities/subjects/sh99002459
subject,Art fairs,lcsh,https://id.loc.gov/authorities/subjects/sh2007000206
subject,"Art galleries, Commercial",lcsh,https://id.loc.gov/authorities/subjects/sh85008000
subject,Art museums,lcsh,https://id.loc.gov/authorities/subjects/sh85008026
subject,Art--Egypt,lcsh,https://id.loc.gov/authorities/subjects/sh85007509
subject,Art--England,lcsh,https://id.loc.gov/authorities/subjects/sh85007510
subject,Art--Italy--Naples,lcsh,https://id.loc.gov/authorities/subjects/sh2009115854
subject,Art--Italy--Sicily,lcsh,https://id.loc.gov/authorities/subjects/sh2009115858
subject,Art--Poland--Kraków,lcsh,https://id.loc.gov/authorities/subjects/sh2009115897
subject,Art--Québec (Province),lcsh,https://id.loc.gov/authorities/subjects/sh90000012
subject,Art--Soviet Union,lcsh,https://id.loc.gov/authorities/subjects/sh2009115509
subject,"Art, Canadian",lcsh,https://id.loc.gov/authorities/subjects/sh85007592
subject,"Art, Etruscan",lcsh,https://id.loc.gov/authorities/subjects/sh85007649
subject,"Art, French",lcsh,https://id.loc.gov/authorities/subjects/sh85007662
subject,"Art, Greco-Roman",lcsh,https://id.loc.gov/authorities/subjects/sh85007688
subject,"Art, Hittite",lcsh,https://id.loc.gov/authorities/subjects/sh85007697
subject,"Art, Modern",lcsh,https://id.loc.gov/authorities/subjects/sh85007793
subject,"Art, Roman",lcsh,https://id.loc.gov/authorities/subjects/sh85007869
subject,Arthritis,mesh,https://id.nlm.nih.gov/mesh/D001168.html
subject,Artificial feeding of children,lcsh,https://id.loc.gov/authorities/subjects/sh2006001306
subject,Artists,lcsh,https://id.loc.gov/authorities/subjects/sh85008276
subject,Asbestos mines and mining,lcsh,https://id.loc.gov/authorities/subjects/sh85008520
subject,Asceticism,lcsh,https://id.loc.gov/authorities/subjects/sh85008537
subject,Ash (Plants),lcsh,https://id.loc.gov/authorities/subjects/sh85008581
subject,Asia,lcsh,https://id.loc.gov/authorities/subjects/sh85008606
subject,Asia--Description and travel,lcsh,https://id.loc.gov/authorities/subjects/sh85008613
subject,Asian Canadians,,
subject,Aspirin,mesh,https://id.nlm.nih.gov/mesh/D001241.html
subject,Aspirin therapy,,
subject,"Aspirin, butalbital and caffeine drug combination",mesh,https://id.nlm.nih.gov/mesh/C001220.html
subject,"Assessment map, Borough of North York",,
subject,Assimilation (Sociology),lcsh,https://id.loc.gov/authorities/subjects/sh85008793.html
subject,Assiniboia,,
subject,Assiniboine people,,
subject,Assisted suicide,lcsh,https://id.loc.gov/authorities/subjects/sh91004385
subject,"Associations, institutions, etc.",lcsh,https://id.loc.gov/authorities/subjects/sh85008810
subject,Asthma,mesh,https://id.nlm.nih.gov/mesh/D001249.html
subject,Astronomy,lcsh,https://id.loc.gov/authorities/subjects/sh85009003
subject,Astronomy--Early works to 1800,lcsh,https://id.loc.gov/authorities/subjects/sh2007101548
subject,Athanasian Creed,wiki,https://www.wikidata.org/wiki/Q747243
subject,Atheism,lcsh,https://id.loc.gov/authorities/subjects/sh85009109
subject,Atlantic Coast (British Isles),lcsh,https://id.loc.gov/authorities/subjects/sh88007144
subject,Atlantic Coast (North America),lcsh,https://id.loc.gov/authorities/subjects/sh89006893
subject,Atlantic Coast (North America)--Description and travel,,
subject,Atlantic Ocean -- Gulf of Saint Lawrence,,
subject,Atlantic Ocean Region,lcsh,https://id.loc.gov/authorities/subjects/sh2008007717
subject,Atlantic Provinces,lcsh,https://id.loc.gov/authorities/subjects/sh85009202
subject,Atlantic Provinces--Maps--Early works to 1800,,
subject,Atlases,lcsh,https://id.loc.gov/authorities/subjects/sh85009231
subject,"Atlases, Canadian",lcsh,https://id.loc.gov/authorities/subjects/sh85009237.html
subject,"Atlases, French",lcsh,https://id.loc.gov/authorities/subjects/sh85009241
subject,Atmospheric temperature--Maps,,
subject,Attributes,,
subject,Auctions,lcsh,https://id.loc.gov/authorities/subjects/sh85009444
subject,Audiences,lcsh,https://id.loc.gov/authorities/subjects/sh85009454
subject,"Augustine, Jean",lcnaf,https://id.loc.gov/authorities/names/n2003117270
subject,Australasian Antarctic Expedition,wiki,https://www.wikidata.org/wiki/Q781233
subject,"Australasian Antarctic expedition, 1911-1914",lcnaf,https://id.loc.gov/authorities/names/n50073914
subject,"Austrian Succession, War of, 1740-1748",lcsh,https://id.loc.gov/authorities/subjects/sh85009756
subject,Austro-Hungarian North Pole Expedition,wiki,https://www.wikidata.org/wiki/Q298912
subject,Authority,lcsh,https://id.loc.gov/authorities/subjects/sh85009789
subject,Authority--Religious aspects,lcsh,https://id.loc.gov/authorities/subjects/sh85009791.html
subject,"Authors, American",lcsh,https://id.loc.gov/authorities/subjects/sh85009808
subject,"Authors, French",lcsh,https://id.loc.gov/authorities/subjects/sh85009907
subject,"Authors, French--16th century--Biography",lcsh,https://id.loc.gov/authorities/subjects/sh2007101640
subject,"Authors, French-Canadian",lcsh,https://id.loc.gov/authorities/subjects/sh85009910
subject,Autobiography,lcsh,https://id.loc.gov/authorities/subjects/sh85010050
subject,Automobile driving,lcsh,https://id.loc.gov/authorities/subjects/sh85010133
subject,Automobile industry and trade,lcsh,https://id.loc.gov/authorities/subjects/sh85010151
subject,Automobile insurance,lcsh,https://id.loc.gov/authorities/subjects/sh85066843
subject,Automobiles,lcsh,https://id.loc.gov/authorities/subjects/sh85010201
subject,Automobiles interiors,lcsh,https://id.loc.gov/authorities/subjects/sh99002444
subject,Automobiles--Maintenance and repair,lcsh,https://id.loc.gov/authorities/subjects/sh85010285
subject,Avant-garde (Music),lcsh,https://id.loc.gov/authorities/subjects/sh90001254
subject,Awards,lcsh,https://id.loc.gov/authorities/subjects/sh00007725
subject,Baby,wiki,https://www.wikidata.org/wiki/Q998
subject,Baby Doe Law,wiki,https://www.wikidata.org/wiki/Q4838255
subject,Baby food,wiki,https://www.wikidata.org/wiki/Q797971
subject,Baby formula,lcsh,https://id.loc.gov/authorities/subjects/sh85010753
subject,Baby shower,wiki,https://www.wikidata.org/wiki/Q444468
subject,Back problems,wiki,https://www.wikidata.org/wiki/Q788043
subject,"Baez, Joan",lcnaf,https://id.loc.gov/authorities/names/n50019193
subject,"Bailey, Sandra",,
subject,"Baker, Peggy, 1952-",viaf,http://viaf.org/viaf/102800622
subject,Ballads,lcsh,https://id.loc.gov/authorities/subjects/sh85011228
subject,"Ballads, English",lcsh,https://id.loc.gov/authorities/subjects/sh85011235
subject,"Ballard, Florence, 1943-1976",lcnaf,https://id.loc.gov/authorities/names/n2007055922
subject,"Ballard, Harold",viaf,https://viaf.org/viaf/104718588/
subject,Ballet,lcsh,https://id.loc.gov/authorities/subjects/sh85011275
subject,Ballets--Scenarios,lcsh,https://id.loc.gov/authorities/subjects/sh2009116634
subject,Ballot,lcsh,https://id.loc.gov/authorities/subjects/sh85011336
subject,Ballroom dancing,lcsh,https://id.loc.gov/authorities/subjects/sh85011339
subject,"Balmer, Carol Ann",wiki,https://en.wikipedia.org/wiki/Miss_Canada
subject,"Bamisaiye, Joshua",,
subject,Banjo music,lcsh,https://id.loc.gov/authorities/subjects/sh85011553
subject,Bank of Nova Scotia,lcnaf,https://id.loc.gov/authorities/names/n82017483
subject,Banks and banking,lcsh,https://id.loc.gov/authorities/subjects/sh85011609
subject,Banks and banking--Canada,lcsh,https://id.loc.gov/authorities/subjects/sh2007101868
subject,Banquet,lcsh,https://id.loc.gov/authorities/subjects/sh85038076
subject,Baptists--United States,,
subject,Barbers,lcsh,https://id.loc.gov/authorities/subjects/sh85011797
subject,Barley,lcsh,https://id.loc.gov/authorities/subjects/sh85011875
subject,Barlow syndrome,mesh,https://id.nlm.nih.gov/mesh/C537478.html
subject,Barn,wiki,https://www.wikidata.org/wiki/Q1303167
subject,Barriers,,
subject,Basket making,lcsh,https://id.loc.gov/authorities/subjects/sh85012110
subject,Basket Weaving,,
subject,Basketball,lcsh,https://id.loc.gov/authorities/subjects/sh85012111
subject,Basketballl,lcsh,https://id.loc.gov/authorities/subjects/sh85012111.html
subject,Basque language,lcsh,https://id.loc.gov/authorities/subjects/sh85012138
subject,Basque literature,lcsh,https://id.loc.gov/authorities/subjects/sh85012140
subject,Bass guitar,lcsh,https://id.loc.gov/authorities/subjects/sh85012161
subject,"Bates, Betty",,
subject,Bawdy songs,lcsh,https://id.loc.gov/authorities/subjects/sh85012488
subject,Bayern Kurve,wiki,https://www.wikidata.org/wiki/Q4874435
subject,Bayonne,,
subject,Bays,lcsh,https://id.loc.gov/authorities/subjects/sh85012515
subject,Bays--Canada,,
subject,BC Insulators Union Local 118,wiki,https://www.wikidata.org/wiki/Q109660979
subject,Beach,wiki,https://www.wikidata.org/wiki/Q40080
subject,Beadwork,lcsh,https://id.loc.gov/authorities/subjects/sh85012623
subject,"Beatty, Patricia",lcnaf,https://id.loc.gov/authorities/names/n86104369
subject,Beauty culture,lcsh,https://id.loc.gov/authorities/subjects/sh85012726
subject,Beauty operators,lcsh,https://id.loc.gov/authorities/subjects/sh85012727
subject,"Beeby, Janet",,
subject,Beechcraft Model 18,wiki,https://www.wikidata.org/wiki/Q814006
subject,Beer,lcsh,https://id.loc.gov/authorities/subjects/sh85012832
subject,Belafonte Folk Singers,lcnaf,https://id.loc.gov/authorities/names/no92006090
subject,"Belafonte, Harry, 1927-",lcsh,https://id.loc.gov/authorities/names/n84028909
subject,Belgium--Description and travel,lcsh,https://id.loc.gov/authorities/subjects/sh85012962
subject,Bell palsy,mesh,https://id.nlm.nih.gov/mesh/D020330.html
subject,"Bell, Marilyn, 1937-",lcnaf,https://id.loc.gov/authorities/names/nb2004300665
subject,"belladonna alkaloid, ergotamine, phenobarbital drug combination",mesh,https://id.nlm.nih.gov/mesh/C044435.html
subject,Belleterre (Que.),wiki,https://www.wikidata.org/wiki/Q139094
subject,Belly dancer,lcsh,https://id.loc.gov/authorities/subjects/sh2005020364
subject,Belly dancing,lcsh,https://id.loc.gov/authorities/subjects/sh85013063
subject,Bendectin (Trademark),lcsh,https://id.loc.gov/authorities/subjects/sh95008520
subject,Benediction,lcsh,https://id.loc.gov/authorities/subjects/sh85013121
subject,"Benn, Gail",,
subject,"Benoît, Émile, 1913-1992",lcnaf,https://id.loc.gov/authorities/names/n93097721
subject,Beothuk,wiki,https://www.wikidata.org/wiki/Q56234
